query_name,         units,          long_name
DHDT_PHY,           W m-2,          total_potential_energy_tendency_due_to_physics
DHDT_ANA,           W m-2,          total_potential_energy_tendency_due_to_analysis
DPDT_PHY,           W m-2,          mountain_work_tendency_due_to_physics
DMDT_DYN,           kg m-2 s-1,     vertically_integrated_mass_tendency_due_to_dynamics
UFLXQL,             kg m-1 s-1,     eastward_flux_of_atmospheric_liquid_water
VFLXCPT,            J m-1 s-1,      northward_flux_of_atmospheric_enthalpy
DHDT_RAY,           W m-2,          vertically_integrated_potential_energy_tendency_due_to_Rayleigh_friction
DHDT_MST,           W m-2,          vertically_integrated_potential_energy_tendency_across_moist
DHDT_FRI,           W m-2,          vertically_integrated_potential_energy_tendency_due_to_friction
DQVDT_ANA,          kg m-2 s-1,     vertically_integrated_water_vapor_tendency_due_to_analysis
EVPRN,              kg m-2 s-1,     evaporation_loss_of_precip_water
DHDT_GWD,           W m-2,          vertically_integrated_potential_energy_tendency_across_gwd
DOXDT_PHY,          kg m-2 s-1,     vertically_integrated_odd_oxygen_tendency_due_to_physics
SUBSN,              kg m-2 s-1,     sumblimation_loss_of_precip_ice
DKDT_GWDRES,        W m-2,          vertically_integrated_kinetic_energy_residual_for_total_energy_conservation
COLCNVSN,           kg m-2 s-1,     accretion_loss_of_cloud_water_to_snow
QTFILL,             kg m-2 s-1,     vertically_integrated_total_water_adjustment_from_filling
CUCNVCL,            kg m-2 s-1,     convective_source_of_cloud_water
DQLDT_DYN,          kg m-2 s-1,     vertically_integrated_liquid_water_tendency_due_to_dynamics
DKDT_ORO,           W m-2,          vertically_integrated_kinetic_energy_dissipation_due_to_orographic_gravity_waves
DHDT_RES,           W m-2,          vertically_integrated_cpt_tendency_residual
DMDT_ANA,           kg m-2 s-1,     vertically_integrated_mass_tendency_due_to_analysis
DKDT_GWD,           W m-2,          vertically_integrated_kinetic_energy_tendency_across_gwd
LSCNVRN,            kg m-2 s-1,     spurious_rain_from_RH_cleanup
