query_name,         units,          long_name
PS,                 Pa,             surface_pressure
TLML,               K,              surface_air_temperature
Var_HLML,           m m,            Variance_of_HLML
QLML,               1,              surface_specific_humidity
HLML,               m,              surface_layer_height
Var_SPEEDLML,       m s-1 m s-1,    Variance_of_SPEEDLML
SPEEDLML,           m s-1,          surface_wind_speed
Var_QLML,           1 1,            Variance_of_QLML
Var_PS,             Pa Pa,          Variance_of_PS
Var_TLML,           K K,            Variance_of_TLML
