query_name,         units,          long_name
DUEM004,            kg m-2 s-1,     Dust Emission Bin 004
Var_BCSD002,        kg m-2 s-1 kg m-2 s-1,Variance_of_BCSD002
Var_DUWT005,        kg m-2 s-1 kg m-2 s-1,Variance_of_DUWT005
Var_DUDP001,        kg m-2 s-1 kg m-2 s-1,Variance_of_DUDP001
DUSD003,            kg m-2 s-1,     Dust Sedimentation Bin 003
Var_SUSD003,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUSD003
Var_SUDP001,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUDP001
BCEMBB,             kg m-2 s-1,     Black Carbon Biomass Burning Emissions
DUSCATFM,           1,              Dust Scattering AOT [550 nm] - PM 1.0 um
Var_DUSV002,        kg m-2 s-1 kg m-2 s-1,Variance_of_DUSV002
SSSD002,            kg m-2 s-1,     Sea Salt Sedimentation Bin 002
Var_SUEM004,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUEM004
Var_SSWT004,        kg m-2 s-1 kg m-2 s-1,Variance_of_SSWT004
Var_SUPSO4AQ,       kg m-2 s-1 kg m-2 s-1,Variance_of_SUPSO4AQ
Var_SSEM002,        kg m-2 s-1 kg m-2 s-1,Variance_of_SSEM002
Var_SSWT005,        kg m-2 s-1 kg m-2 s-1,Variance_of_SSWT005
DUWT002,            kg m-2 s-1,     Dust Wet Deposition Bin 002
OCDP001,            kg m-2 s-1,     Organic Carbon Dry Deposition Bin 001 
Var_SUSV003,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUSV003
Var_OCHYPHIL,       kg m-2 s-1 kg m-2 s-1,Variance_of_OCHYPHIL
SSDP005,            kg m-2 s-1,     Sea Salt Dry Deposition Bin 005
SUDP003,            kg m-2 s-1,     Sulfate Dry Deposition Bin 003 
SUEM001,            kg m-2 s-1,     Sulfate Emission Bin 001 
Var_BCDP002,        kg m-2 s-1 kg m-2 s-1,Variance_of_BCDP002
Var_SSEM003,        kg m-2 s-1 kg m-2 s-1,Variance_of_SSEM003
Var_DUWT002,        kg m-2 s-1 kg m-2 s-1,Variance_of_DUWT002
Var_BCHYPHIL,       kg m-2 s-1 kg m-2 s-1,Variance_of_BCHYPHIL
SUDP002,            kg m-2 s-1,     Sulfate Dry Deposition Bin 002 
Var_BCWT002,        kg m-2 s-1 kg m-2 s-1,Variance_of_BCWT002
Var_SO2EMVN,        kg m-2 s-1 kg m-2 s-1,Variance_of_SO2EMVN
SSAERIDX,           1,              Sea Salt TOMS UV Aerosol Index
Var_SUSV002,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUSV002
Var_SUSD001,        kg m-2 s-1 kg m-2 s-1,Variance_of_SUSD001
SSSD001,            kg m-2 s-1,     Sea Salt Sedimentation Bin 001
BCWT001,            kg m-2 s-1,     Black Carbon Wet Deposition Bin 001
