query_name,         units,          long_name
WESNSC,             kg m-2 s-1,     top_snow_layer_mass_change_due_to_sub_con
RUNOFF,             kg m-2 s-1,     runoff_flux
SNOMAS_GL,          kg m-2,         snow_mass_over_glaciated_surface
Var_WESNEXT,        kg m-2 s-1 kg m-2 s-1,Variance_of_WESNEXT
WESNEXT,            kg m-2 s-1,     total_snow_mass_residual_due_to_densification
SNOWDP_GL,          m,              snow_depth_over_glaciated_surface
ASNOW_GL,           1,              fractional_area_of_glaciated_surface_snowcover
Var_SNOWDP_GL,      m m,            Variance_of_SNOWDP_GL
Var_WESNSC,         kg m-2 s-1 kg m-2 s-1,Variance_of_WESNSC
SNICEALB,           1,              aggregated_snow_ice_broadband_albedo
Var_SNICEALB,       1 1,            Variance_of_SNICEALB
Var_ASNOW_GL,       1 1,            Variance_of_ASNOW_GL
Var_SNOMAS_GL,      kg m-2 kg m-2,  Variance_of_SNOMAS_GL
Var_RUNOFF,         kg m-2 s-1 kg m-2 s-1,Variance_of_RUNOFF
