query_name,         units,          long_name
Var_DKDT_DYN,       W m-2 W m-2,    Variance_of_DKDT_DYN
DHDT_PHY,           W m-2,          total_potential_energy_tendency_due_to_physics
Var_DHDT_ANA,       W m-2 W m-2,    Variance_of_DHDT_ANA
DHDT_ANA,           W m-2,          total_potential_energy_tendency_due_to_analysis
Var_DKDT_RAY,       W m-2 W m-2,    Variance_of_DKDT_RAY
DPDT_PHY,           W m-2,          mountain_work_tendency_due_to_physics
DMDT_DYN,           kg m-2 s-1,     vertically_integrated_mass_tendency_due_to_dynamics
UFLXQL,             kg m-1 s-1,     eastward_flux_of_atmospheric_liquid_water
VFLXCPT,            J m-1 s-1,      northward_flux_of_atmospheric_enthalpy
Var_DHDT_DYN,       W m-2 W m-2,    Variance_of_DHDT_DYN
DHDT_RAY,           W m-2,          vertically_integrated_potential_energy_tendency_due_to_Rayleigh_friction
DHDT_MST,           W m-2,          vertically_integrated_potential_energy_tendency_across_moist
Var_PRECSN,         kg m-2 s-1 kg m-2 s-1,Variance_of_PRECSN
Var_DQIDT_PHY,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQIDT_PHY
DHDT_FRI,           W m-2,          vertically_integrated_potential_energy_tendency_due_to_friction
Var_DTHDT_PHY,      K kg m-2 s-1 K kg m-2 s-1,Variance_of_DTHDT_PHY
DQVDT_ANA,          kg m-2 s-1,     vertically_integrated_water_vapor_tendency_due_to_analysis
EVPRN,              kg m-2 s-1,     evaporation_loss_of_precip_water
DHDT_GWD,           W m-2,          vertically_integrated_potential_energy_tendency_across_gwd
DOXDT_PHY,          kg m-2 s-1,     vertically_integrated_odd_oxygen_tendency_due_to_physics
SUBSN,              kg m-2 s-1,     sumblimation_loss_of_precip_ice
Var_SDMCI,          kg m-2 s-1 kg m-2 s-1,Variance_of_SDMCI
Var_HFLUX,          W m-2 W m-2,    Variance_of_HFLUX
Var_SWNETSRF,       W m-2 W m-2,    Variance_of_SWNETSRF
Var_DQVDT_PHY,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_PHY
Var_DQVDT_MST,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_MST
Var_DOXDT_FIL,      kg m-2 s-1 kg m-2 s-1,Variance_of_DOXDT_FIL
Var_DHDT_BKG,       W m-2 W m-2,    Variance_of_DHDT_BKG
DKDT_GWDRES,        W m-2,          vertically_integrated_kinetic_energy_residual_for_total_energy_conservation
Var_DQIDT_ANA,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQIDT_ANA
Var_PRECCU,         kg m-2 s-1 kg m-2 s-1,Variance_of_PRECCU
COLCNVSN,           kg m-2 s-1,     accretion_loss_of_cloud_water_to_snow
QTFILL,             kg m-2 s-1,     vertically_integrated_total_water_adjustment_from_filling
Var_DHDT_CUF,       W m-2 W m-2,    Variance_of_DHDT_CUF
Var_UFLXQI,         kg m-1 s-1 kg m-1 s-1,Variance_of_UFLXQI
CUCNVCL,            kg m-2 s-1,     convective_source_of_cloud_water
Var_DKDT_MST,       W m-2 W m-2,    Variance_of_DKDT_MST
Var_EVPCL,          kg m-2 s-1 kg m-2 s-1,Variance_of_EVPCL
Var_DTHDT_ANA,      K kg m-2 s-1 K kg m-2 s-1,Variance_of_DTHDT_ANA
Var_DKDT_GWDRES,    W m-2 W m-2,    Variance_of_DKDT_GWDRES
DQLDT_DYN,          kg m-2 s-1,     vertically_integrated_liquid_water_tendency_due_to_dynamics
DKDT_ORO,           W m-2,          vertically_integrated_kinetic_energy_dissipation_due_to_orographic_gravity_waves
Var_DHDT_RES,       W m-2 W m-2,    Variance_of_DHDT_RES
DHDT_RES,           W m-2,          vertically_integrated_cpt_tendency_residual
DMDT_ANA,           kg m-2 s-1,     vertically_integrated_mass_tendency_due_to_analysis
Var_DKDT_ANA,       W m-2 W m-2,    Variance_of_DKDT_ANA
DKDT_GWD,           W m-2,          vertically_integrated_kinetic_energy_tendency_across_gwd
Var_QTFILL,         kg m-2 s-1 kg m-2 s-1,Variance_of_QTFILL
Var_DQVDT_CHM,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_CHM
Var_UFLXQL,         kg m-1 s-1 kg m-1 s-1,Variance_of_UFLXQL
LSCNVRN,            kg m-2 s-1,     spurious_rain_from_RH_cleanup
Var_EVPRN,          kg m-2 s-1 kg m-2 s-1,Variance_of_EVPRN
Var_DQIDT_MST,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQIDT_MST
Var_CUCNVCL,        kg m-2 s-1 kg m-2 s-1,Variance_of_CUCNVCL
Var_FRZCL,          kg m-2 s-1 kg m-2 s-1,Variance_of_FRZCL
BKGERR,             W m-2,          vertically_integrated_kinetic_energy_residual_for_BKG_energy_conservation
Var_DHDT_ORO,       W m-2 W m-2,    Variance_of_DHDT_ORO
Var_DPDT_DYN,       W m-2 W m-2,    Variance_of_DPDT_DYN
DOXDT_DYN,          kg m-2 s-1,     vertically_integrated_ozone_tendency_due_to_dynamics
Var_DKDT_BKG,       W m-2 W m-2,    Variance_of_DKDT_BKG
Var_DHDT_FRI,       W m-2 W m-2,    Variance_of_DHDT_FRI
Var_DOXDT_PHY,      kg m-2 s-1 kg m-2 s-1,Variance_of_DOXDT_PHY
DQVDT_TRB,          kg m-2 s-1,     vertically_integrated_water_vapor_tendency_due_to_turbulence
Var_VFLXKE,         J m-1 s-1 J m-1 s-1,Variance_of_VFLXKE
Var_EVAP,           kg m-2 s-1 kg m-2 s-1,Variance_of_EVAP
Var_DOXDT_CHM,      kg m-2 s-1 kg m-2 s-1,Variance_of_DOXDT_CHM
Var_DTHDT_DYN,      K kg m-2 s-1 K kg m-2 s-1,Variance_of_DTHDT_DYN
DOXDT_CHM,          kg m-2 s-1,     vertically_integrated_odd_oxygen_tendency_due_to_chemistry
DQLDT_MST,          kg m-2 s-1,     vertically_integrated_liquid_water_tendency_due_to_moist_processes
Var_LSCNVCI,        kg m-2 s-1 kg m-2 s-1,Variance_of_LSCNVCI
DQIDT_DYN,          kg m-2 s-1,     vertically_integrated_ice_water_tendency_due_to_dynamics
DTHDT_DYN,          K kg m-2 s-1,   vertically_integrated_THV_tendency_due_to_dynamics
Var_DPDT_PHY,       W m-2 W m-2,    Variance_of_DPDT_PHY
SDMCI,              kg m-2 s-1,     sedimentation_loss_of_cloud_ice
Var_DKDT_INT,       W m-2 W m-2,    Variance_of_DKDT_INT
Var_DQIDT_FIL,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQIDT_FIL
Var_CUCNVRN,        kg m-2 s-1 kg m-2 s-1,Variance_of_CUCNVRN
EVAP,               kg m-2 s-1,     evaporation_from_turbulence
Var_DHDT_TRB,       W m-2 W m-2,    Variance_of_DHDT_TRB
DPDT_ANA,           W m-2,          mountain_work_tendency_due_to_analysis
Var_DQLDT_PHY,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQLDT_PHY
Var_DKDT_TRB,       W m-2 W m-2,    Variance_of_DKDT_TRB
Var_COLCNVRN,       kg m-2 s-1 kg m-2 s-1,Variance_of_COLCNVRN
DQLDT_PHY,          kg m-2 s-1,     vertically_integrated_liquid_water_tendency_due_to_physics
Var_DKDT_SRF,       W m-2 W m-2,    Variance_of_DKDT_SRF
Var_DHDT_GWD,       W m-2 W m-2,    Variance_of_DHDT_GWD
LSCNVCI,            kg m-2 s-1,     statistical_source_of_cloud_ice
DTHDT_ANA,          K kg m-2 s-1,   vertically_integrated_THV_tendency_due_to_analysis
Var_DQLDT_ANA,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQLDT_ANA
Var_AUTCNVRN,       kg m-2 s-1 kg m-2 s-1,Variance_of_AUTCNVRN
DHDT_CUF,           W m-2,          vertically_integrated_potential_energy_tendency_due_to_cumulus_friction
PRECLS,             kg m-2 s-1,     large_scale_rainfall
Var_LSCNVCL,        kg m-2 s-1 kg m-2 s-1,Variance_of_LSCNVCL
Var_VFLXQI,         kg m-1 s-1 kg m-1 s-1,Variance_of_VFLXQI
DQVDT_MST,          kg m-2 s-1,     vertically_integrated_water_vapor_tendency_due_to_moist_processes
DQLDT_ANA,          kg m-2 s-1,     vertically_integrated_liquid_water_tendency_due_to_analysis
Var_DPDT_ANA,       W m-2 W m-2,    Variance_of_DPDT_ANA
Var_DQLDT_MST,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQLDT_MST
Var_DQVDT_TRB,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_TRB
AUTCNVRN,           kg m-2 s-1,     autoconversion_loss_of_cloud_water
DKDT_TRB,           W m-2,          vertically_integrated_kinetic_energy_tendency_across_turbulence
Var_DMDT_ANA,       kg m-2 s-1 kg m-2 s-1,Variance_of_DMDT_ANA
Var_LSCNVRN,        kg m-2 s-1 kg m-2 s-1,Variance_of_LSCNVRN
Var_DQVDT_DYN,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_DYN
Var_DQVDT_FIL,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_FIL
DKDT_TOP,           W m-2,          vertically_integrated_kinetic_energy_dissipation_due_to_topographic_friction
Var_LWGNET,         W m-2 W m-2,    Variance_of_LWGNET
DKDT_MST,           W m-2,          vertically_integrated_kinetic_energy_tendency_across_moist
Var_DKDT_GWD,       W m-2 W m-2,    Variance_of_DKDT_GWD
CUCNVCI,            kg m-2 s-1,     convective_source_of_cloud_ice
UFLXCPT,            J m-1 s-1,      eastward_flux_of_atmospheric_enthalpy
DQIDT_PHY,          kg m-2 s-1,     vertically_integrated_ice_tendency_due_to_physics
Var_UFLXQV,         kg m-1 s-1 kg m-1 s-1,Variance_of_UFLXQV
DKDT_BKG,           W m-2,          vertically_integrated_kinetic_energy_dissipation_due_to_gravity_wave_background
UFLXQV,             kg m-1 s-1,     eastward_flux_of_atmospheric_water_vapor
Var_DKDT_PHYPHY,    W m-2 W m-2,    Variance_of_DKDT_PHYPHY
Var_DOXDT_DYN,      kg m-2 s-1 kg m-2 s-1,Variance_of_DOXDT_DYN
UFLXPHI,            J m-1 s-1,      eastward_flux_of_atmospheric_potential_energy
VFLXPHI,            J m-1 s-1,      northward_flux_of_atmospheric_potential_energy
Var_DQIDT_DYN,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQIDT_DYN
VFLXQV,             kg m-1 s-1,     northward_flux_of_atmospheric_water_vapor
LSCNVCL,            kg m-2 s-1,     statistical_source_of_cloud_water
Var_VFLXCPT,        J m-1 s-1 J m-1 s-1,Variance_of_VFLXCPT
Var_SWNETTOA,       W m-2 W m-2,    Variance_of_SWNETTOA
DQVDT_CHM,          kg m-2 s-1,     vertically_integrated_water_vapor_tendency_due_to_chemistry
DQVDT_FIL,          kg m-2 s-1,     vertically_integrated_qv_adjustment_from_filling
Var_DKDT_TOP,       W m-2 W m-2,    Variance_of_DKDT_TOP
Var_DQLDT_DYN,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQLDT_DYN
Var_DQVDT_ANA,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQVDT_ANA
DKDT_RAY,           W m-2,          vertically_integrated_kinetic_energy_dissipation_due_to_Rayleigh_friction
FRZRN,              kg m-2 s-1,     net_freezing_of_precip_condensate
DPDT_DYN,           W m-2,          mountain_work_tendency_due_to_dynamics
Var_VFLXPHI,        J m-1 s-1 J m-1 s-1,Variance_of_VFLXPHI
Var_PRECLS,         kg m-2 s-1 kg m-2 s-1,Variance_of_PRECLS
LWTNET,             W m-2,          upwelling_longwave_flux_at_toa
DKDT_ANA,           W m-2,          total_kinetic_energy_tendency_due_to_analysis
VFLXQL,             kg m-1 s-1,     northward_flux_of_atmospheric_liquid_water
VFLXQI,             kg m-1 s-1,     northward_flux_of_atmospheric_ice
Var_VFLXQV,         kg m-1 s-1 kg m-1 s-1,Variance_of_VFLXQV
DOXDT_FIL,          kg m-2 s-1,     vertically_integrated_ox_adjustment_from_filling
DQIDT_MST,          kg m-2 s-1,     vertically_integrated_ice_tendency_due_to_moist_processes
Var_UFLXPHI,        J m-1 s-1 J m-1 s-1,Variance_of_UFLXPHI
Var_SUBSN,          kg m-2 s-1 kg m-2 s-1,Variance_of_SUBSN
DHDT_RAD,           W m-2,          vertically_integrated_potential_energy_tendency_across_radiation
DTHDT_PHY,          K kg m-2 s-1,   vertically_integrated_THV_tendency_due_to_physics
PRECCU,             kg m-2 s-1,     convective_rainfall
Var_DMDT_DYN,       kg m-2 s-1 kg m-2 s-1,Variance_of_DMDT_DYN
DQLDT_FIL,          kg m-2 s-1,     vertically_integrated_ql_adjustment_from_filling
Var_COLCNVSN,       kg m-2 s-1 kg m-2 s-1,Variance_of_COLCNVSN
Var_DHDT_PHY,       W m-2 W m-2,    Variance_of_DHDT_PHY
DHDT_TRB,           W m-2,          vertically_integrated_potential_energy_tendency_across_turbulence
Var_DQLDT_FIL,      kg m-2 s-1 kg m-2 s-1,Variance_of_DQLDT_FIL
