query_name,         units,          long_name
SNOMAS,             kg m-2,         Total_snow_storage_land
Var_SNOMAS,         kg m-2 kg m-2,  Variance_of_SNOMAS
Var_SPLAND,         W m-2 W m-2,    Variance_of_SPLAND
Var_GHLAND,         W m-2 W m-2,    Variance_of_GHLAND
SFMC,               m-3 m-3,        water_surface_layer
TSOIL5,             K,              soil_temperatures_layer_5
TSOIL3,             K,              soil_temperatures_layer_3
FRUNST,             1,              fractional_area_of_unsaturated_zone
Var_FRUNST,         1 1,            Variance_of_FRUNST
Var_FRSAT,          1 1,            Variance_of_FRSAT
SPWATR,             kg m-2 s-1,     rate_of_spurious_land_water_source
PARDRLAND,          W m-2,          surface_downwelling_par_beam_flux
Var_ECHANGE,        W m-2 W m-2,    Variance_of_ECHANGE
RUNOFF,             kg m-2 s-1,     overland_runoff_including_throughflow
EVPSOIL,            W m-2,          baresoil_evap_energy_flux
Var_TSOIL1,         K K,            Variance_of_TSOIL1
Var_TSURF,          K K,            Variance_of_TSURF
Var_TSOIL2,         K K,            Variance_of_TSOIL2
Var_QINFIL,         kg m-2 s-1 kg m-2 s-1,Variance_of_QINFIL
Var_PRECSNOLAND,    kg m-2 s-1 kg m-2 s-1,Variance_of_PRECSNOLAND
Var_LHLAND,         W m-2 W m-2,    Variance_of_LHLAND
TSOIL4,             K,              soil_temperatures_layer_4
Var_SPWATR,         kg m-2 s-1 kg m-2 s-1,Variance_of_SPWATR
FRSNO,              1,              fractional_area_of_land_snowcover
PRECSNOLAND,        kg m-2 s-1,     snowfall_land
Var_TPSNOW,         K K,            Variance_of_TPSNOW
Var_SNODP,          m m,            Variance_of_SNODP
SWLAND,             W m-2,          Net_shortwave_land
Var_GWETROOT,       1 1,            Variance_of_GWETROOT
Var_GWETTOP,        1 1,            Variance_of_GWETTOP
PRECTOTLAND,        kg m-2 s-1,     Total_precipitation_land
Var_TSAT,           K K,            Variance_of_TSAT
SNODP,              m,              snow_depth
Var_SHLAND,         W m-2 W m-2,    Variance_of_SHLAND
FRWLT,              1,              fractional_area_of_wilting_zone
Var_LAI,            1 1,            Variance_of_LAI
Var_SPSNOW,         W m-2 W m-2,    Variance_of_SPSNOW
TSOIL2,             K,              soil_temperatures_layer_2
Var_TWLT,           K K,            Variance_of_TWLT
Var_EVPSOIL,        W m-2 W m-2,    Variance_of_EVPSOIL
ECHANGE,            W m-2,          rate_of_change_of_total_land_energy
EVPINTR,            W m-2,          interception_loss_energy_flux
GHLAND,             W m-2,          Ground_heating_land
Var_EVPTRNS,        W m-2 W m-2,    Variance_of_EVPTRNS
LHLAND,             W m-2,          Latent_heat_flux_land
TPSNOW,             K,              surface_temperature_of_snow
Var_GWETPROF,       1 1,            Variance_of_GWETPROF
PRMC,               m-3 m-3,        water_profile
SHLAND,             W m-2,          Sensible_heat_flux_land
Var_FRWLT,          1 1,            Variance_of_FRWLT
SPSNOW,             W m-2,          rate_of_spurious_snow_energy
EVPSBLN,            W m-2,          snow_ice_evaporation_energy_flux
Var_TSOIL6,         K K,            Variance_of_TSOIL6
Var_EVPINTR,        W m-2 W m-2,    Variance_of_EVPINTR
GWETTOP,            1,              surface_soil_wetness
Var_SFMC,           m-3 m-3 m-3 m-3,Variance_of_SFMC
Var_TWLAND,         kg m-2 kg m-2,  Variance_of_TWLAND
TUNST,              K,              surface_temperature_of_unsaturated_zone
Var_RZMC,           m-3 m-3 m-3 m-3,Variance_of_RZMC
Var_TSOIL3,         K K,            Variance_of_TSOIL3
PARDFLAND,          W m-2,          surface_downwelling_par_diffuse_flux
LWLAND,             W m-2,          Net_longwave_land
