name,units,cds_name,short_name,id,an,fc
Large-scale precipitation fraction,s,large_scale_precipitation_fraction,lspf,50,,x
Downward UV radiation at the surface,J m**-2,downward_uv_radiation_at_the_surface,uvb,57,,x
Boundary layer dissipation,J m**-2,boundary_layer_dissipation,bld,145,,x
Surface sensible heat flux,J m**-2,surface_sensible_heat_flux,sshf,146,,x
Surface latent heat flux,J m**-2,surface_latent_heat_flux,slhf,147,,x
Surface solar radiation downwards,J m**-2,surface_solar_radiation_downwards,ssrd,169,,x
Surface thermal radiation downwards,J m**-2,surface_thermal_radiation_downwards,strd,175,,x
Surface net solar radiation,J m**-2,surface_net_solar_radiation,ssr,176,,x
Surface net thermal radiation,J m**-2,surface_net_thermal_radiation,str,177,,x
Top net solar radiation,J m**-2,top_net_solar_radiation,tsr,178,,x
Top net thermal radiation,J m**-2,top_net_thermal_radiation,ttr,179,,x
Eastward turbulent surface stress,N m**-2 s,eastward_turbulent_surface_stress,ewss,180,,x
Northward turbulent surface stress,N m**-2 s,northward_turbulent_surface_stress,nsss,181,,x
Eastward gravity wave surface stress,N m**-2 s,eastward_gravity_wave_surface_stress,lgws,195,,x
Northward gravity wave surface stress,N m**-2 s,northward_gravity_wave_surface_stress,mgws,196,,x
Gravity wave dissipation,J m**-2,gravity_wave_dissipation,gwd,197,,x
"Top net solar radiation, clear sky",J m**-2,top_net_solar_radiation_clear_sky,tsrc,208,,x
"Top net thermal radiation, clear sky",J m**-2,top_net_thermal_radiation_clear_sky,ttrc,209,,x
"Surface net solar radiation, clear sky",J m**-2,surface_net_solar_radiation_clear_sky,ssrc,210,,x
"Surface net thermal radiation, clear sky",J m**-2,surface_net_thermal_radiation_clear_sky,strc,211,,x
TOA incident solar radiation,J m**-2,toa_incident_solar_radiation,tisr,212,,x
Vertically integrated moisture divergence,kg m**-2,vertically_integrated_moisture_divergence,vimd,213,,x
Total sky direct solar radiation at surface,J m**-2,total_sky_direct_solar_radiation_at_surface,fdir,228021,,x
Clear-sky direct solar radiation at surface,J m**-2,clear_sky_direct_solar_radiation_at_surface,cdir,228022,,x
Surface solar radiation downward clear-sky,J m**-2,surface_solar_radiation_downward_clear_sky,ssrdc,228129,,x
Surface thermal radiation downward clear-sky,J m**-2,surface_thermal_radiation_downward_clear_sky,strdc,228130,,x
Surface runoff,m,surface_runoff,sro,8,,x
Sub-surface runoff,m,sub_surface_runoff,ssro,9,,x
Snow evaporation,m of water equivalent,snow_evaporation,es,44,,x
Snowmelt,m of water equivalent,snowmelt,smlt,45,,x
Large-scale precipitation,m,large_scale_precipitation,lsp,142,,x
Convective precipitation,m,convective_precipitation,cp,143,,x
Snowfall,m of water equivalent,snowfall,sf,144,,x
Evaporation,m of water equivalent,evaporation,e,182,,x
Runoff,m,runoff,ro,205,,x
Total precipitation,m,total_precipitation,tp,228,,x
Convective snowfall,m of water equivalent,convective_snowfall,csf,239,,x
Large-scale snowfall,m of water equivalent,large_scale_snowfall,lsf,240,,x
Potential evaporation,m,potential_evaporation,pev,228251,,x

