raw_name,           units,                        long_name
DUEM004,            kg m-2 s-1,                   Dust Emission Bin 004
DUSD003,            kg m-2 s-1,                   Dust Sedimentation Bin 003
BCEMBB,             kg m-2 s-1,                   Black Carbon Biomass Burning Emissions
DUSCATFM,           1,                            Dust Scattering AOT [550 nm] - PM 1.0 um
SSSD002,            kg m-2 s-1,                   Sea Salt Sedimentation Bin 002
DUWT002,            kg m-2 s-1,                   Dust Wet Deposition Bin 002
OCDP001,            kg m-2 s-1,                   Organic Carbon Dry Deposition Bin 001 
SSDP005,            kg m-2 s-1,                   Sea Salt Dry Deposition Bin 005
SUDP003,            kg m-2 s-1,                   Sulfate Dry Deposition Bin 003 
SUEM001,            kg m-2 s-1,                   Sulfate Emission Bin 001 
SUDP002,            kg m-2 s-1,                   Sulfate Dry Deposition Bin 002 
SSAERIDX,           1,                            Sea Salt TOMS UV Aerosol Index
SSSD001,            kg m-2 s-1,                   Sea Salt Sedimentation Bin 001
BCWT001,            kg m-2 s-1,                   Black Carbon Wet Deposition Bin 001
OCEM002,            kg m-2 s-1,                   Organic Carbon Emission Bin 002 
OCWT001,            kg m-2 s-1,                   Organic Carbon Wet Deposition Bin 001 
SSSV003,            kg m-2 s-1,                   Sea Salt Convective Scavenging Bin 003
SUEM003,            kg m-2 s-1,                   Sulfate Emission Bin 003 
SUSD002,            kg m-2 s-1,                   Sulfate Settling Bin 002 
SSSD005,            kg m-2 s-1,                   Sea Salt Sedimentation Bin 005
BCEMBF,             kg m-2 s-1,                   Black Carbon Biofuel Emissions
SUPSO2,             kg m-2 s-1,                   SO2 Prod from DMS Oxidation [column] 
DUEM001,            kg m-2 s-1,                   Dust Emission Bin 001
DUSV001,            kg m-2 s-1,                   Dust Convective Scavenging Bin 001
OCHYPHIL,           kg m-2 s-1,                   Organic Carbon Hydrophobic to Hydrophilic 
SUPSO4G,            kg m-2 s-1,                   SO4 Prod from Gaseous SO2 Oxidation [column] 
BCEM001,            kg m-2 s-1,                   Black Carbon Emission Bin 001
OCEMBF,             kg m-2 s-1,                   Organic Carbon Biofuel Emissions 
SUSD004,            kg m-2 s-1,                   Sulfate Settling Bin 004 
OCSD001,            kg m-2 s-1,                   Organic Carbon Sedimentation Bin 001 
DUWT003,            kg m-2 s-1,                   Dust Wet Deposition Bin 003
OCDP002,            kg m-2 s-1,                   Organic Carbon Dry Deposition Bin 002 
SUSD003,            kg m-2 s-1,                   Sulfate Settling Bin 003 
DUDP001,            kg m-2 s-1,                   Dust Dry Deposition Bin 001
BCSD002,            kg m-2 s-1,                   Black Carbon Sedimentation Bin 002
SUSV004,            kg m-2 s-1,                   Sulfate Convective Scavenging Bin 004 
SSSCATFM,           1,                            Sea Salt Scattering AOT [550 nm] - PM 1.0 um
SUPMSA,             kg m-2 s-1,                   MSA Prod from DMS Oxidation [column] 
DUSD005,            kg m-2 s-1,                   Dust Sedimentation Bin 005
SSDP002,            kg m-2 s-1,                   Sea Salt Dry Deposition Bin 002
