query_name,           units,                        long_name
EFLUXICE,           W m-2,                        sea_ice_latent_energy_flux
TAUXWTR,            N m-2,                        eastward_stress_over_water
SWGNTICE,           W m-2,                        sea_ice_net_downward_shortwave_flux
TSKINICE,           K,                            sea_ice_skin_temperature
LWGNTICE,           W m-2,                        sea_ice_net_downward_longwave_flux
TAUYWTR,            N m-2,                        northward_stress_over_water
HFLUXICE,           W m-2,                        sea_ice_upward_sensible_heat_flux
EFLUXWTR,           W m-2,                        open_water_latent_energy_flux
SWGNTWTR,           W m-2,                        open_water_net_downward_shortwave_flux
TAUYICE,            N m-2,                        northward_stress_over_ice
TSKINWTR,           K,                            open_water_skin_temperature
T10M,               K,                            10-meter_air_temperature
RAINOCN,            kg m-2 s-1,                   ocean_rainfall
V10M,               m s-1,                        10-meter_northward_wind
PRECSNOOCN,         kg m-2 s-1,                   ocean_snowfall
HFLUXWTR,           W m-2,                        open_water_upward_sensible_heat_flux
U10M,               m s-1,                        10-meter_eastward_wind
TAUXICE,            N m-2,                        eastward_stress_over_ice
FRSEAICE,           1,                            ice_covered_fraction_of_tile
QV10M,              kg kg-1,                      10-meter_specific_humidity
LWGNTWTR,           W m-2,                        open_water_net_downward_longwave_flux
