query_name,           units,                        long_name
U2M,                m s-1,                        2-meter_eastward_wind
V250,               m s-1,                        northward_wind_at_250_hPa
TROPT,              K,                            tropopause_temperature_using_blended_TROPP_estimate
TROPPB,             Pa,                           tropopause_pressure_based_on_blended_estimate
T2M,                K,                            2-meter_air_temperature
TQL,                kg m-2,                       total_precipitable_liquid_water
T500,               K,                            air_temperature_at_500_hPa
TOX,                kg m-2,                       total_column_odd_oxygen
U850,               m s-1,                        eastward_wind_at_850_hPa
PS,                 Pa,                           surface_pressure
V850,               m s-1,                        northward_wind_at_850_hPa
OMEGA500,           Pa s-1,                       omega_at_500_hPa
H250,               m,                            height_at_250_hPa
Q250,               kg kg-1,                      specific_humidity_at_250_hPa
T2MDEW,             K,                            dew_point_temperature_at_2_m
PBLTOP,             Pa,                           pbltop_pressure
CLDPRS,             Pa,                           cloud_top_pressure
V50M,               m s-1,                        northward_wind_at_50_meters
Q500,               kg kg-1,                      specific_humidity_at_500_hPa
DISPH,              m,                            zero_plane_displacement_height
H1000,              m,                            height_at_1000_mb
TO3,                Dobsons,                      total_column_ozone
TS,                 K,                            surface_skin_temperature
T10M,               K,                            10-meter_air_temperature
TROPPT,             Pa,                           tropopause_pressure_based_on_thermal_estimate
TQI,                kg m-2,                       total_precipitable_ice_water
SLP,                Pa,                           sea_level_pressure
U250,               m s-1,                        eastward_wind_at_250_hPa
Q850,               kg kg-1,                      specific_humidity_at_850_hPa
ZLCL,               m,                            lifting_condensation_level
TQV,                kg m-2,                       total_precipitable_water_vapor
V2M,                m s-1,                        2-meter_northward_wind
T250,               K,                            air_temperature_at_250_hPa
TROPQ,              kg kg-1,                      tropopause_specific_humidity_using_blended_TROPP_estimate
V10M,               m s-1,                        10-meter_northward_wind
H850,               m,                            height_at_850_hPa
T850,               K,                            air_temperature_at_850_hPa
U50M,               m s-1,                        eastward_wind_at_50_meters
U10M,               m s-1,                        10-meter_eastward_wind
QV2M,               kg kg-1,                      2-meter_specific_humidity
CLDTMP,             K,                            cloud_top_temperature
TROPPV,             Pa,                           tropopause_pressure_based_on_EPV_estimate
H500,               m,                            height_at_500_hPa
V500,               m s-1,                        northward_wind_at_500_hPa
T2MWET,             K,                            wet_bulb_temperature_at_2_m
U500,               m s-1,                        eastward_wind_at_500_hPa
QV10M,              kg kg-1,                      10-meter_specific_humidity
