raw_name,           units,                        long_name
Var_KE,             J m-2 J m-2,                  Variance_of_KE
TQL,                kg m-2,                       total_precipitable_liquid_water
THV,                K,                            vertically_integrated_virtual_potential_temperature
TOX,                kg m-2,                       total_column_odd_oxygen
KE,                 J m-2,                        vertically_integrated_kinetic_energy
Var_TOX,            kg m-2 kg m-2,                Variance_of_TOX
Var_TQL,            kg m-2 kg m-2,                Variance_of_TQL
Var_TQV,            kg m-2 kg m-2,                Variance_of_TQV
Var_CPT,            J m-2 J m-2,                  Variance_of_CPT
TQI,                kg m-2,                       total_precipitable_ice_water
Var_MASS,           kg m-2 kg m-2,                Variance_of_MASS
TQV,                kg m-2,                       total_precipitable_water_vapor
Var_TQI,            kg m-2 kg m-2,                Variance_of_TQI
CPT,                J m-2,                        vertically_integrated_enthalpy
Var_THV,            K K,                          Variance_of_THV
MASS,               kg m-2,                       atmospheric_mass
