query_name,           units,                        long_name
T2MMEAN,            K,                            2-meter_air_temperature
T2MMAX,             K,                            2-meter_air_temperature
Var_HOURNORAIN,     s s,                          Variance_of_HOURNORAIN
Var_T2MMEAN,        K K,                          Variance_of_T2MMEAN
Var_T2MMAX,         K K,                          Variance_of_T2MMAX
TPRECMAX,           kg m-2 s-1,                   total_precipitation
Var_T2MMIN,         K K,                          Variance_of_T2MMIN
T2MMIN,             K,                            2-meter_air_temperature
HOURNORAIN,         s,                            time-during_an_hour_with_no_precipitation
Var_TPRECMAX,       kg m-2 s-1 kg m-2 s-1,        Variance_of_TPRECMAX
