harp_name,                    raw_name,           units,                        long_name
,                             LWGAB,              W m-2,                        surface_absorbed_longwave_radiation
,                             Var_PRECLSCORR,     kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECLSCORR
,                             Var_PARDF,          W m-2 W m-2,                  Variance_of_PARDF
,                             SWLAND,             W m-2,                        Net_shortwave_land
,                             Var_PRECSNOCORR,    kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECSNOCORR
,                             Var_PARDR,          W m-2 W m-2,                  Variance_of_PARDR
,                             PRECLSCORR,         kg m-2 s-1,                   liquid_water_large_scale_precipitation
,                             PRECCUCORR,         kg m-2 s-1,                   liquid_water_convective_precipitation
,                             PARDF,              W m-2,                        surface_downwelling_par_diffuse_flux
,                             SWGDN,              W m-2,                        Incident_shortwave_land
,                             Var_LWGAB,          W m-2 W m-2,                  Variance_of_LWGAB
,                             Var_SWLAND,         W m-2 W m-2,                  Variance_of_SWLAND
,                             PRECSNOCORR,        kg m-2 s-1,                   snowfall
,                             Var_SWGDN,          W m-2 W m-2,                  Variance_of_SWGDN
,                             PARDR,              W m-2,                        surface_downwelling_par_beam_flux
,                             Var_PRECCUCORR,     kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECCUCORR
